в0|O0|040
Ты входишь в темную комнату.В комнате есть газовая плита, керосиновая лампа и свечка. У тебя в кармане коробок с 1 спичкой. Вопрос: что ты зажжешь в первую очередь?|Спичку|true
Заря-зарница,Красная девица, Врата запирала, По полю гуляла, ключи потеряла. Месяц видел, а солнце скрало.|Роса|true
Над бабушкиной избушкой висит хлеба краюшка.Собака лает, а достать не может|Месяц|false
Живет без тела,говорит без языка. Никто его не видит,а всякий слышит.|Эхо|true
Летит орлица по синему небу, крылья распластала, солнышко застлала.|Туча|true
И в нее льется,и из нее льется, сама по земле плетется.|Река|true
В огне - не горит, в воде - не тонет.|Лед|true
Вечером умирает, а поутру оживает.|День|true
Я - вода и по воде плаваю. Кто я?|Льдина|true
Поднялись ворота - Всему миру красота!|Радуга|true
Воет, свистит, ветки ломает, пыль поднимает,С ног всех сбивает, слышишь его, да не видишь его.|Ветер|true
Что это за костер, который один весь свет согревает? Без него мы плачем, а как появится - глаза от него прячем!|Солнце|true
На деревья, на кусты c неба падают цветы. Белые, пушистые,только не душистые|Снег|true
Растет она вниз головою, не летом растет, а зимою. Но солнце ее припечет - Заплачет она и умрет.|Сосулька|true
Кругом вода, а пить нечего.|Море|true
Бегу я как по лесенке, по камушкам звеня, издалека по песенке узнаете меня.|Ручеёк|true
Все меня топчут, а я всё лучше.|Тропинка|true
В тихую погоду - нет нас нигде, а ветер подует - бежим по воде.|Волны|true
Идет то в гору, то с горы, но остается на месте.|Дорога|true
Ничего не пишите и не используйте калькулятор. Возьмите 1000. Прибавьте 40. Прибавьте еще тысячу. Прибавьте 30. Еще 1000. Плюс 20. Плюс 1000. И плюс 10. Что получилось? |4100|true
Какой знак нужно поставить между 6 и 7, чтобы результат оказался меньше 7 и больше 6?|Запятую|true
Какая мышца в теле человека самая сильная? |Язык|true
Они бывают металлические и жидкие. О чем речь?|Гвозди|true
Самый большой орган человека?|Кожа|true
К тебе пришли гости, а в холодильнике — бутылка лимонада, пакет с ананасовым соком и бутылка минеральной воды. Что ты откроешь в первую очередь? |Холодильник|true
Что не может увеличить лупа в треугольнике?|Углы|true
В каком числе цифр столько, сколько букв в его названии?|100|true
От какого животного Канарские острова получили своё название?|Собака|true
Сколько лет длилась «Столетняя война»?|116|true
В каком слове 3 буквы л и три буквы п? |Параллелепипед|true
Что своим детям всегда даёт отец и никогда не даёт мать?|Отчество|true
Она людям доставляет мучения, если её не разделят.|Любовь|true
Тебе дано, а люди пользуются.|Имя|true
В землю он весной нырял — Поле всё перепахал.|Плуг|true
Этот южный материк И не мал, и не велик Нунатаки, снег и льдины, И веселые пингвины Здесь давно нашли приют. Материк тот как зовут? |Антарктида|true
Он сказал «поехали» и махнул рукой.|Гагарин|true
Весь день за мной шагала, а в темноте пропала.|Тень|true
Ночь. Но если захочу, щёлкну раз — И день включу.|Выключатель|true
Я горячее храню, Я холодное храню, Я и печь, и холодильник Вам в походе заменю.|Термос|true
Узкая полоса по краю ткани|Кромка|true
